INFO buildroot.py:488:  Mock Version: 2.9
DEBUG util.py:542:  Executing command: ['/usr/bin/systemd-nspawn', '-q', '-M', 'd7cfc69f0fd84a6caa0642eac7d7b212', '-D', '/var/lib/mock/fedora-rawhide-x86_64-debug/root', '-a', '--console=pipe', '--setenv=TERM=vt100', '--setenv=SHELL=/bin/bash', '--setenv=HOME=/builddir', '--setenv=HOSTNAME=mock', '--setenv=PATH=/usr/bin:/bin:/usr/sbin:/sbin', '--setenv=PROMPT_COMMAND=printf "\\033]0;<mock-chroot>\\007"', '--setenv=PS1=<mock-chroot> \\s-\\v\\$ ', '--setenv=LANG=C.UTF-8', '--resolv-conf=off', '/usr/sbin/groupdel', 'mock'] with env {'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'C.UTF-8', 'SYSTEMD_NSPAWN_TMPFS_TMP': '0'} and shell False
DEBUG util.py:598:  Child return code was: 0
DEBUG util.py:624:  child environment: None
DEBUG util.py:536:  Using nspawn with args None
DEBUG util.py:542:  Executing command: ['/usr/bin/systemd-nspawn', '-q', '-M', 'd688a6a517894591b25431585132781c', '-D', '/var/lib/mock/fedora-rawhide-x86_64-debug/root', '-a', '--console=pipe', '--setenv=TERM=vt100', '--setenv=SHELL=/bin/bash', '--setenv=HOME=/builddir', '--setenv=HOSTNAME=mock', '--setenv=PATH=/usr/bin:/bin:/usr/sbin:/sbin', '--setenv=PROMPT_COMMAND=printf "\\033]0;<mock-chroot>\\007"', '--setenv=PS1=<mock-chroot> \\s-\\v\\$ ', '--setenv=LANG=C.UTF-8', '--resolv-conf=off', '/usr/sbin/groupadd', '-g', '135', 'mock'] with env {'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'C.UTF-8', 'SYSTEMD_NSPAWN_TMPFS_TMP': '0'} and shell False
DEBUG util.py:598:  Child return code was: 0
DEBUG util.py:624:  child environment: None
DEBUG util.py:536:  Using nspawn with args None
DEBUG util.py:542:  Executing command: ['/usr/bin/systemd-nspawn', '-q', '-M', 'f2e877d68b0b41c486aa4be9f99b58fb', '-D', '/var/lib/mock/fedora-rawhide-x86_64-debug/root', '-a', '--console=pipe', '--setenv=TERM=vt100', '--setenv=SHELL=/bin/bash', '--setenv=HOME=/builddir', '--setenv=HOSTNAME=mock', '--setenv=PATH=/usr/bin:/bin:/usr/sbin:/sbin', '--setenv=PROMPT_COMMAND=printf "\\033]0;<mock-chroot>\\007"', '--setenv=PS1=<mock-chroot> \\s-\\v\\$ ', '--setenv=LANG=C.UTF-8', '--resolv-conf=off', '/usr/sbin/useradd', '-o', '-m', '-u', '1000', '-g', '135', '-d', '/builddir', '-n', 'mockbuild'] with env {'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'C.UTF-8', 'SYSTEMD_NSPAWN_TMPFS_TMP': '0'} and shell False
DEBUG util.py:598:  Child return code was: 0
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64-debug/root/builddir/build
DEBUG file_util.py:20:  creating dir: /var/lib/mock/fedora-rawhide-x86_64-debug/root/builddir/build
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64-debug/root/builddir/build/RPMS
DEBUG file_util.py:20:  creating dir: /var/lib/mock/fedora-rawhide-x86_64-debug/root/builddir/build/RPMS
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64-debug/root/builddir/build/SPECS
DEBUG file_util.py:20:  creating dir: /var/lib/mock/fedora-rawhide-x86_64-debug/root/builddir/build/SPECS
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64-debug/root/builddir/build/SRPMS
DEBUG file_util.py:20:  creating dir: /var/lib/mock/fedora-rawhide-x86_64-debug/root/builddir/build/SRPMS
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64-debug/root/builddir/build/SOURCES
DEBUG file_util.py:20:  creating dir: /var/lib/mock/fedora-rawhide-x86_64-debug/root/builddir/build/SOURCES
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64-debug/root/builddir/build/BUILD
DEBUG file_util.py:20:  creating dir: /var/lib/mock/fedora-rawhide-x86_64-debug/root/builddir/build/BUILD
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64-debug/root/builddir/build/BUILDROOT
DEBUG file_util.py:20:  creating dir: /var/lib/mock/fedora-rawhide-x86_64-debug/root/builddir/build/BUILDROOT
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64-debug/root/builddir/build/originals
DEBUG file_util.py:20:  creating dir: /var/lib/mock/fedora-rawhide-x86_64-debug/root/builddir/build/originals
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/fedora-rawhide-x86_64-debug/root/builddir
DEBUG util.py:624:  child environment: None
DEBUG util.py:536:  Using nspawn with args None
DEBUG util.py:542:  Executing command: ['/usr/bin/systemd-nspawn', '-q', '-M', '71bab66e1d864172beaa23101642e030', '-D', '/var/lib/mock/fedora-rawhide-x86_64-debug-bootstrap/root', '-a', '--console=pipe', '--setenv=TERM=vt100', '--setenv=SHELL=/bin/bash', '--setenv=HOME=/builddir', '--setenv=HOSTNAME=mock', '--setenv=PATH=/usr/bin:/bin:/usr/sbin:/sbin', '--setenv=PROMPT_COMMAND=printf "\\033]0;<mock-chroot>\\007"', '--setenv=PS1=<mock-chroot> \\s-\\v\\$ ', '--setenv=LANG=C.UTF-8', '--resolv-conf=off', '/bin/rpm', '-qa', '--root', '/var/lib/mock/fedora-rawhide-x86_64-debug/root'] with env {'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'C.UTF-8', 'SYSTEMD_NSPAWN_TMPFS_TMP': '0'} and shell False
DEBUG util.py:446:  tzdata-2021a-1.fc34.noarch
DEBUG util.py:446:  xkeyboard-config-2.32-3.fc35.noarch
DEBUG util.py:446:  whois-nls-5.5.9-1.fc35.noarch
DEBUG util.py:446:  rust-srpm-macros-17-2.fc34.noarch
DEBUG util.py:446:  qt5-srpm-macros-5.15.2-2.fc34.noarch
DEBUG util.py:446:  python-setuptools-wheel-56.0.0-2.fc35.noarch
DEBUG util.py:446:  publicsuffix-list-dafsa-20190417-5.fc34.noarch
DEBUG util.py:446:  pkgconf-m4-1.7.3-6.fc34.noarch
DEBUG util.py:446:  perl-srpm-macros-1-39.fc34.noarch
DEBUG util.py:446:  pcre2-syntax-10.36-4.fc35.noarch
DEBUG util.py:446:  openblas-srpm-macros-2-9.fc34.noarch
DEBUG util.py:446:  ocaml-srpm-macros-6-4.fc34.noarch
DEBUG util.py:446:  nim-srpm-macros-3-4.fc34.noarch
DEBUG util.py:446:  libssh-config-0.9.5-2.fc34.noarch
DEBUG util.py:446:  kernel-srpm-macros-1.0-4.fc34.noarch
DEBUG util.py:446:  gnat-srpm-macros-4-13.fc34.noarch
DEBUG util.py:446:  ghc-srpm-macros-1.5.0-4.fc34.noarch
DEBUG util.py:446:  gawk-all-langpacks-5.1.0-3.fc34.x86_64
DEBUG util.py:446:  fpc-srpm-macros-1.3-3.fc34.noarch
DEBUG util.py:446:  setup-2.13.8-1.fc35.noarch
DEBUG util.py:446:  filesystem-3.14-5.fc34.x86_64
DEBUG util.py:446:  basesystem-11-11.fc34.noarch
DEBUG util.py:446:  glibc-minimal-langpack-2.33.9000-2.fc35.x86_64
